,sample,Colour_L*,Colour_a*,Colour_b*
0,11.0,0.00224641934874318,0.0062891670110297995,0.006217127109902883
1,14.0,0.0018590144472740379,0.005464716916860634,0.0026011592592436188
2,10.0,0.0037655954346484744,0.030064173013204812,0.0029271150733375224
3,4.0,0.0004540230648608065,0.0006955512332736399,0.0005666049728702028
4,13.0,0.0022142902255303755,0.011367980327705257,0.010675332323310395
5,21.0,0.0007450686236619885,0.002142122603287126,0.0029814499572927504
6,23.0,0.0005127436337392221,0.0004992253334627684,0.0003323639385126788
7,18.0,0.00731781861011141,0.00612980216427014,0.009177135004752139
8,22.0,0.0004357186350544732,0.00046894054580922447,0.0006826620990924405
9,20.0,0.006678987358428298,0.014235004191860221,0.005267601449304687
10,2.0,0.0015202784273291956,0.0023068824632375895,0.004230710300989101
11,3.0,0.004218276026221737,0.005486136761507094,0.014554803748570457
12,17.0,0.0011809171355000334,0.0005679152038279784,0.0009233947142041081
13,16.0,0.0017252984346769707,0.0009984506669255756,0.0014594240191317229
14,19.0,0.0015971494951444157,0.000716318515868215,0.0005875419868604467
15,1.0,0.006057960912349424,0.0028344084515833394,0.007455535092123032
16,15.0,0.0020673577346650295,0.0013096796695871737,0.0033659541504826103
17,12.0,0.001326590293176246,0.003702354162746539,0.005374644496483994
18,6.0,0.0020146935180782918,0.002525322123930252,0.01310429391141828
19,5.0,0.0016527040964711935,0.0017462395594495875,0.006886533485664626
20,7.0,0.0021844589366972057,0.0038192993190403045,0.01093443893500211
21,9.0,0.00250329183597426,0.0027290029881008966,0.009631567744288957
22,8.0,0.0013267656636963133,0.00433527017163431,0.004292274704874752
23,24.0,0.009950701560554595,0.003260176843263654,0.005923110984786638
