,sample,TGA_Residue,TGA_Temp_160-180,TGA_Temp_300-320,TGA_Temp_380-400,TGA_Temp_460-480,TGA_Temp_480-500
0,11.0,0.2660005401026194,0.5614611122511529,0.9135355364418173,0.6169811320754718,0.2937355912777398,0.04521988600815755
1,14.0,0.22117202268431,0.802380463779941,0.9661988833559676,0.43519766397124826,0.5482543435216333,0.3299679023640628
2,10.0,0.26924115581960567,0.9343320336548832,0.813641164931327,1.0,0.41189581826702043,0.1690426647536356
3,4.0,0.9975695382122604,0.2080853683561681,0.9235953925858803,0.43736148547469283,0.4478180935023694,0.20836099455525206
4,13.0,0.2476370510396975,0.5678226964907767,0.7172174437905449,0.9962488769092505,0.3866511946218471,0.37473416556977446
5,21.0,0.3341884958142047,0.7644161707366222,0.5309717821035107,0.21078167115903,0.6024385594103123,0.710235852001738
6,23.0,0.5665676478530921,0.804022162938576,0.6918666063075206,0.3094115004492335,0.30709878040636385,0.3763022542249994
7,18.0,0.4098028625438833,0.70038990355012,0.6521804738192127,0.43303009883198373,0.38554102023028847,0.2607947254881222
8,22.0,0.46732379152038883,0.7496408783090089,0.5762788592123128,0.2812668463611854,0.3067754314126268,0.4180320479413041
9,20.0,0.24223602484472045,0.8836445721320707,0.7264222121623561,0.25828840970350503,0.41898181311740984,0.4162995847312603
10,2.0,0.451525789900081,0.7326082495382021,0.5773602937477821,0.6266921233902355,0.22168974440494002,0.399520850296405
11,3.0,0.4610676028445404,0.339763321704555,0.2532568784266385,0.3536088649296179,0.4859736552858096,0.39033159062325984
12,17.0,0.022819335673778016,0.10855735686432033,0.037196318092620334,0.12697663971248685,0.8171311609684369,0.24475211934866892
13,16.0,0.01782338644342425,0.2156782269648811,0.3106232080881141,0.47553908355794905,0.8460276590389025,0.10485153409880049
14,19.0,0.012287334593572778,0.13554278678425913,0.25995925758259936,0.36720575022461793,0.7434683788657039,0.3874021557276886
15,1.0,0.015257899000810139,0.461933100759182,0.40267089180625715,0.5302560646900245,0.49101643457648114,0.41969331403312704
16,15.0,0.017013232514177693,0.23763595321151787,0.27553945978569294,0.331940700808626,0.6590200670442593,0.29713535926033985
17,12.0,0.07831487982716717,0.3517340447361855,0.5399879281726382,0.32946990116801633,0.5869580479652412,0.4607609904777437
18,6.0,0.03456656764785309,0.6168684588548311,0.5117700316885361,0.5450359389038609,0.6570223239232026,0.05014092888188343
19,5.0,0.3009721847150958,0.846706341062945,0.5901614606911085,0.46025381850853425,0.5754384903454787,0.2584187804937097
20,7.0,0.009451795841209802,0.9860455571516221,0.6464463558171023,0.7890610961365654,0.4967519550770358,0.06101162981830869
21,9.0,0.4858223062381852,0.9825569464395175,0.6063075298023289,0.7964510332434835,0.24944163079766613,0.020578993441582667
22,8.0,0.20226843100189035,0.38025856761736265,0.508978421608571,0.8982479784366572,0.5652060500794253,0.02699214952223068
23,24.0,0.009541812944459447,0.03194472946161566,0.01169458276745862,0.07860886492962098,0.7055221995874753,0.4476203703821686
