,SHM,SHM_True,SHM_std
11,7.775,7.335,0.043
14,8.406,7.219,0.060
10,9.597,8.063,0.300
4,6.782,6.039,0.250
13,9.106,8.370,0.355
21,8.737,6.880,0.235
23,6.338,6.807,0.558
18,5.833,7.400,0.128
22,6.767,6.632,0.301
20,7.030,7.685,0.624
2,8.272,8.035,0.408
3,6.893,4.991,0.152
17,9.272,9.109,0.033
16,12.778,14.635,0.505
19,9.547,9.192,0.099
1,7.010,8.024,0.072
15,4.414,5.611,0.070
12,8.096,8.756,0.329
6,10.347,9.684,0.420
5,9.175,7.812,0.070
7,8.912,9.061,0.036
9,10.205,8.974,0.205
8,11.172,13.983,0.739
24,8.304,10.469,0.464
