,sample,ESCR_90%Failure,ESCR_75%Failure,ESCR_50%Failure
0,13.0,0.3469387755102041,0.328932893289329,0.30118798043326345
1,18.0,1.0,0.8415841584158416,0.0404312668463612
2,20.0,1.0,1.0,0.06289308176100629
3,3.0,0.3469387755102041,0.31353135313531355,0.2620545073375262
4,17.0,0.09750566893424038,0.09790979097909792,0.11320754716981132
5,1.0,0.02040816326530612,0.0165016501650165,0.010482180293501078
6,15.0,0.0,0.0,0.0
7,12.0,0.061224489795918366,0.06930693069306931,0.06289308176100629
8,6.0,0.673469387755102,0.6303630363036303,0.5639412997903565
9,9.0,1.0,0.6039603960396039,0.34591194968553457
10,8.0,1.0,1.0,1.0
11,24.0,0.32380952380952377,0.3102310231023102,0.2893081761006289
