,sample,Rhe_100.00,Rhe_Loss_100.00,Rhe_0.10,Rhe_Loss_0.10,Rhe_Log,Rhe_Crossover,Rhe_SMCrossover
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,40.0,0.0016666990338185179,0.007573641425658104,0.0028647489656418216,0.016006376160073752,0.025987707766370653,0.033614490126950385,0.016025972036807563
25,41.0,0.0945325818366587,0.1272668760693231,0.00815716956747304,0.019143795339482707,0.25300247626490824,0.25917671754195953,0.1546720336953433
