,sample,SAXS_LP,SAXS_A,SAXS_Xc,SAXS_lc,SAXS_la,SAXS_TMF,SAXS_MP,SAXS_Crystallinity,SAXS_MW,SAXS_0SV,SAXS_V_at_MS,SAXS_AI,SAXS_AC,SAXS_t
0,11.0,0.057971014492753624,0.1,0.452375885803436,0.058299745895946095,0.1320399892464435,0.6843992827256428,0.5840336134453735,0.5476190476190478,0.006014000014739443,1.1363339186043451e-06,0.14333213763417138,0.36206896551724127,0.36134453781512604,0.12105263157894738
1,10.0,0.3188405797101449,0.4,0.5288712954534309,0.3032097954398681,0.4505820501757664,0.6939629408248656,0.13865546218487948,0.19047619047619052,0.012344898064465412,3.6273295547554465e-06,0.16620678237355485,0.4482758620689651,0.30504201680672266,0.1368421052631579
2,4.0,1.0,1.0,0.9357072289859477,1.0,1.0,0.0,0.5042016806722651,0.5952380952380953,0.0015749709510134596,2.097970667353466e-07,0.004332110041113794,0.31034482758620713,0.30168067226890755,0.11578947368421053
3,13.0,0.14492753623188406,0.4,0.0,0.06772780969532195,0.5939920502336828,0.8009563658099222,0.23109243697479515,0.24047619047619057,0.016137848188645224,6.002617242864472e-06,0.23169890455561387,0.3275862068965516,0.2184873949579832,0.17894736842105263
4,21.0,0.21739130434782608,0.4,0.2393722473067622,0.16720324278009835,0.5275473272530539,0.9946204423191873,0.20588235294118068,0.33333333333333354,0.3404713182712598,0.028073976550458457,0.07069341353715405,0.29310344827586193,0.35882352941176465,0.1263157894736842
5,23.0,0.30434782608695654,0.5,0.274921598101202,0.24911426229616823,0.6323763609837133,0.9784817692767483,0.23109243697479515,0.0,0.15347384117267013,0.0021945294903288636,0.1452912447228278,0.5172413793103444,0.1815126050420168,0.17368421052631583
6,18.0,0.2391304347826087,0.45,0.19081261085583154,0.17860979960225068,0.5984483164928773,1.0,0.31512605042016867,0.42857142857142855,1.0,1.0,0.04151375513920701,0.6034482758620691,0.5705882352941176,0.07894736842105263
7,22.0,0.30434782608695654,0.5,0.274921598101202,0.24911426229616823,0.6323763609837133,0.9228930065750152,0.40336134453781924,0.5952380952380953,0.05657735382771065,0.00011602723102568482,0.20250544962887349,0.5344827586206897,0.33781512605042013,0.15263157894736845
8,20.0,0.21014492753623187,0.4,0.21679515588193154,0.15735490902178384,0.5337029947757255,0.9157202630005977,0.4159663865546265,0.40476190476190477,0.04641634997334617,6.823766531547657e-05,0.35215639745040145,0.0,0.27899159663865547,0.0
9,2.0,0.30434782608695654,0.6,0.047218795092499495,0.21226008384291215,0.8139566462541339,0.763299462044232,0.4831932773109277,0.14285714285714285,0.016688734888999707,6.414144567504685e-06,0.11488369526227214,0.3275862068965516,0.2411764705882353,0.13157894736842105
10,3.0,0.5652173913043478,0.75,0.4612442177444089,0.5118863304257429,0.8629123784625292,0.7435744172145846,1.0,0.5714285714285715,0.022949927653898215,1.2465342774780597e-05,0.10842691978698163,0.2586206896551722,0.5176470588235295,0.08421052631578949
11,17.0,0.0,0.0,0.513539490284917,0.015211086711633461,0.005401473875598345,0.9181111775254035,0.5336134453781566,0.19047619047619052,0.03729017788051716,3.8930806928366684e-05,0.46102480615877056,0.8793103448275857,1.0,0.06842105263157894
12,16.0,0.12318840579710146,0.1,0.6418255691319181,0.1446180540827833,0.08805332511154057,0.5636580992229526,0.0,0.4523809523809524,0.0017997474642015767,2.441819758233219e-07,0.22361413868270746,1.0,0.9697478991596638,1.0
13,19.0,0.014492753623188406,0.1,0.31376590897768203,0.0,0.1650804052516075,0.5427375971309027,0.3235294117647108,0.9285714285714288,0.0,0.0,0.06321569493115539,0.5862068965517239,0.0,0.4052631578947369
14,1.0,0.10144927536231885,0.1,0.5809300273301263,0.11598085490848,0.10204759293633414,0.8278541542139869,0.5798319327731084,0.6904761904761905,0.019529148477783975,8.830366671194633e-06,0.12600369746971668,0.5172413793103444,0.5235294117647059,0.10526315789473684
15,15.0,0.26811594202898553,0.1,1.0,0.33276462460800293,0.008396569921855883,0.698744769874477,0.9873949579831928,0.6190476190476192,0.012331693979674308,3.6203434144963025e-06,0.18287298915592845,0.5862068965517239,0.8932773109243698,0.0631578947368421
16,12.0,0.13043478260869565,0.3,0.20049545458204265,0.08523769214711929,0.4229869679625682,0.9139270771069936,0.5,0.5952380952380953,0.0413650198614001,5.061130596633113e-05,0.23891448911453886,0.3793103448275865,0.3420168067226891,0.13157894736842105
17,6.0,0.13768115942028986,0.05,0.7882969968332603,0.17968758443055188,0.0,0.7860131500298864,0.23109243697479515,0.761904761904762,0.015880214999349006,5.817047892230955e-06,0.28182169366187476,0.3448275862068968,0.1857142857142857,0.16315789473684214
18,5.0,0.21739130434782608,0.5,0.0,0.1299504518173448,0.711091573632477,0.7866108786610878,0.2941176470588193,1.0,0.016573582986751698,6.326272022057637e-06,0.0,0.18965517241379287,0.19159663865546217,0.1473684210526316
19,7.0,0.2028985507246377,0.2,0.641086681862116,0.21661120102782644,0.19938064361968316,0.7358039450089662,0.30672268907562655,0.4523809523809524,0.012800592525628207,3.873372682007181e-06,0.2946662619684888,0.39655172413793094,0.31092436974789917,0.13157894736842105
20,9.0,0.2826086956521739,0.55,0.09475076994445167,0.20113898368400132,0.7416492139861213,0.8296473401075913,0.3781512605042048,0.4523809523809524,0.024672600111528456,1.4628317294076568e-05,0.29953643663254326,0.3448275862068968,0.16890756302521007,0.2105263157894737
21,8.0,0.10869565217391304,0.35,0.0,0.036616488634310655,0.5354422885342857,0.9336521219366407,0.1722689075630241,0.33333333333333354,0.05013191801921532,8.368904271675565e-05,1.0,0.5862068965517239,0.2966386554621849,0.14210526315789476
