,TLS_3mm,TLS_Max
0,251.06021,469.6705
1,257.70566,477.17853
2,257.64612,470.40588
3,257.36411,456.98557
4,251.33064,403.55338
5,257.05112,461.07849
6,264.03662,467.13739
7,250.63843,460.23212
8,256.3894,459.24496
9,253.44417,459.63586
10,243.64072,443.65781
11,245.70869,438.73849
12,235.56799,434.30988
13,237.72343,442.64249
14,235.70822,436.11157
15,243.61424,438.76001
16,235.97484,441.88937
17,239.60303,440.76578
18,235.27422,432.59027
19,239.7621,428.64697
20,263.00537,475.45114
21,258.19055,458.27985
22,261.78461,459.22488
23,243.63124,459.6701
24,248.78157,452.24377
25,252.20808,457.51837
26,253.34961,457.80444
27,255.16891,466.15341
28,254.31013,461.51862
29,253.64619,461.944
30,245.10646,449.37131
31,240.31735,438.4454
32,238.52563,447.83276
33,241.79498,444.85834
34,238.76538,442.26727
35,242.96031,448.19214
36,242.99385,446.13022
37,241.26877,440.04123
38,240.55045,442.53128
39,238.80638,449.02585
40,235.32063,434.43698
41,232.72218,418.0213
42,233.75229,415.34009
43,233.08688,421.20709
44,232.42064,414.56796
45,234.85915,420.81583
46,234.30424,427.80365
47,232.32062,424.50577
48,242.15396,428.13147
49,232.72234,416.90216
50,259.09521,464.68427
51,253.49504,473.5054
52,261.38596,468.77875
53,260.97794,473.31427
54,255.66783,474.49771
55,255.32979,466.67404
56,262.53214,476.69528
57,264.29691,491.74048
58,264.52063,484.8739
59,267.55673,480.9194
60,222.96207,401.91586
61,226.53014,411.65079
62,225.78998,402.20969
63,232.87,422.82028
64,228.44006,425.54761
65,226.09253,432.24207
66,236.74318,423.70721
67,234.9003,430.50879
68,233.47096,378.19815
69,239.58125,426.44043
70,273.09311,483.33374
71,274.77774,487.51675
72,271.35764,485.51041
73,268.70334,481.38498
74,267.45468,492.7605
75,274.58734,486.11832
76,271.4881,484.228
77,268.60715,492.93851
78,262.93091,463.75485
79,267.08279,477.35965
80,255.42375,421.40665
81,254.22719,408.7074
82,259.48026,419.04266
83,260.13559,458.16559
84,264.54974,471.30695
85,265.99442,462.23016
86,257.60645,451.27151
87,262.39368,453.60907
88,258.47372,452.03122
89,258.495,444.43231
90,252.3007,476.40344
91,249.39412,464.38617
92,255.4427,482.87344
93,248.62263,474.85635
94,251.4149,432.05765
95,257.5708,488.87155
96,253.30231,480.39215
97,255.35861,474.4227
98,260.04568,492.25607
99,251.48741,475.66202
100,258.51923,473.12167
101,266.44601,478.62103
102,261.15405,469.11432
103,260.67532,481.16479
104,262.34192,480.78528
105,255.7576,466.60468
106,258.55771,477.96667
107,262.31406,497.3634
108,254.54611,475.50668
109,251.40193,462.66754
110,253.55685,441.24396
111,256.81769,462.03827
112,256.29324,449.95123
113,257.29092,445.05701
114,257.0076,450.28497
115,256.82458,458.30188
116,255.03946,445.1571
117,260.08041,460.44608
118,254.62804,444.55798
119,290.20737,529.96307
120,295.58923,526.16852
121,288.07693,471.08963
122,289.79922,524.07147
123,290.48193,527.88385
124,287.06805,519.7995
125,284.88458,524.71625
126,285.01205,513.24652
127,291.58655,522.11115
128,285.52365,528.06738
