1,0,PCR 1.0,
1,1,PCR 1.1,
1,2,PCR 1.2,
1,3,PCR 1.3,
1,4,PCR 1.4,
1,5,PCR 1.5,
1,6,PCR 1.6,
1,7,PCR 1.7,
1,8,PCR 1.8,
1,9,PCR 1.9,
3,0,PCR 3.0,
3,1,PCR 3.1,
3,2,PCR 3.2,
3,3,PCR 3.3,
3,4,PCR 3.4,
3,5,PCR 3.5,
3,6,PCR 3.6,
3,7,PCR 3.7,
3,8,PCR 3.8,
3,9,PCR 3.9,
6,0,PCR 6.0,
6,1,PCR 6.1,
6,2,PCR 6.2,
6,3,PCR 6.3,
6,4,PCR 6.4,
6,5,PCR 6.5,
6,6,PCR 6.6,
6,7,PCR 6.7,
6,8,PCR 6.8,
6,9,PCR 6.9,
8,0,PCR 8.0,
8,1,PCR 8.1,
8,2,PCR 8.2,
8,3,PCR 8.3,
8,4,PCR 8.4,
8,5,PCR 8.5,
8,6,PCR 8.6,
8,7,PCR 8.7,
8,8,PCR 8.8,
8,9,PCR 8.9,
9,0,PCR 9.0,
9,1,PCR 9.1,
9,2,PCR 9.2,
9,3,PCR 9.3,
9,4,PCR 9.4,
9,5,PCR 9.5,
9,6,PCR 9.6,
9,7,PCR 9.7,
9,8,PCR 9.8,
9,9,PCR 9.9,
12,0,PCR 12.0,
12,1,PCR 12.1,
12,2,PCR 12.2,
12,3,PCR 12.3,
12,4,PCR 12.4,
12,5,PCR 12.5,
12,6,PCR 12.6,
12,7,PCR 12.7,
12,8,PCR 12.8,
12,9,PCR 12.9,
13,0,PCR 13.0,
13,1,PCR 13.1,
13,2,PCR 13.2,
13,3,PCR 13.3,
13,4,PCR 13.4,
13,5,PCR 13.5,
13,6,PCR 13.6,
13,7,PCR 13.7,
13,8,PCR 13.8,
13,9,PCR 13.9,
15,0,PCR 15.0,
15,1,PCR 15.1,
15,2,PCR 15.2,
15,3,PCR 15.3,
15,4,PCR 15.4,
15,5,PCR 15.5,
15,6,PCR 15.6,
15,7,PCR 15.7,
15,8,PCR 15.8,
15,9,PCR 15.9,
17,0,V7.0,
17,1,V7.1,
17,2,V7.2,
17,3,V7.3,
17,4,V7.4,
17,5,V7.5,
17,6,V7.6,
17,7,V7.7,
17,8,V7.8,
17,9,V7.9,
18,0,PCR 18.0,
18,1,PCR 18.1,
18,2,PCR 18.2,
18,3,PCR 18.3,
18,4,PCR 18.4,
18,5,PCR 18.5,
18,6,PCR 18.6,
18,7,PCR 18.7,
18,8,PCR 18.8,
18,9,PCR 18.9,
20,0,PCR 20.0,
20,1,PCR 20.1,
20,2,PCR 20.2,
20,3,PCR 20.3,
20,4,PCR 20.4,
20,5,PCR 20.5,
20,6,PCR 20.6,
20,7,PCR 20.7,
20,8,PCR 20.8,
20,9,PCR 20.9,
24,0,V1.0,
24,1,V1.1,
24,2,V1.2,
24,3,V1.3,
24,4,V1.4,
24,5,V1.5,
24,6,V1.6,
24,7,V1.7,
24,8,V1.8,
24,9,V1.9,e
25,0,V2.0,
25,1,V2.1,
25,2,V2.2,
25,3,V2.3,
25,4,V2.4,
25,5,V2.5,
25,6,V2.6,
25,7,V2.7,
25,8,V2.8,
25,9,V2.9,
