,TT_SAB,TT_UTS,TT_YM
0,13.947,28.0165,8.716814159292033
1,11.4551,28.538,9.02028081123245
2,14.1676,29.0411,8.977142857142855
3,23.117,29.3289,9.01091476091475
4,15.8862,29.6121,9.115564809994797
5,52.8679,29.3315,9.0270551508845
6,71.3035,28.6842,8.910176531671864
7,9.6348,25.9708,7.788761706555674
8,13.9662,26.1819,8.140478668054106
9,11.2062,25.7681,7.980759230369209
10,13.7315,26.4604,8.085803432137288
11,9.6348,26.3013,8.111746361746365
12,52.0715,27.6181,8.825702393340277
13,74.2553,27.7349,8.87513007284079
14,94.7514,28.2301,8.875195007800304
15,75.4793,27.4089,8.68850754030161
16,63.124,28.0371,8.81624154086413
17,146.1506,28.3724,8.833420093701193
18,113.0582,28.1535,9.111862643080121
19,8.7232,25.5333,8.068087318087308
20,6.1167,26.1269,8.424935064935058
21,9.0146,24.5696,8.24934929724103
22,7.3185,25.657,8.062467464862044
23,4.4165,24.4682,8.638585543421746
24,7.357,26.5538,8.277315296566073
25,18.532,27.0619,8.189484643414886
26,7.9662,26.2815,7.852680895367002
27,14.2157,27.0398,8.117463617463615
28,35.4889,27.5973,8.248960498960491
29,34.8745,27.5266,8.460978147762749
30,9.0236,27.4285,8.200937011972929
31,60.7634,28.0814,8.605619146722157
32,9.8812,26.4546,7.981288981288979
33,27.9934,26.1458,7.870062370062364
34,13.289,26.5109,8.083897863470566
35,15.4237,26.4074,8.067082683307337
36,71.2457,26.6921,8.098906819364915
37,18.224,26.0401,7.784415584415584
38,24.0015,26.6162,8.259239979177504
39,28.4021,25.7589,7.4015625000000025
40,122.3195,25.398,7.728266527850082
41,141.8015,25.2821,7.386493506493501
42,123.2513,25.8534,7.744016649323626
43,109.3363,25.2712,7.715548621944875
44,19.0289,25.0826,7.555150884495319
45,148.6411,26.2511,7.643080124869923
46,4.5897,19.1823,7.530761209593327
47,4.0465,22.3558,7.601875977071393
48,4.4889,19.6971,7.561979166666665
49,4.8352,23.6419,7.805729166666661
50,6.419,22.162,7.647762747138396
51,33.4227,25.2943,7.307451797811363
52,57.9743,25.4581,7.372722540343572
53,18.8278,25.729,7.851351351351356
54,13.0961,25.544,7.4001040582726265
55,30.8742,25.4703,7.1266284523189105
56,45.8972,25.2125,7.211238293444337
57,10.0877,25.4001,7.729448491155053
58,7.2286,23.0627,6.993756503642046
59,3.8149,19.9727,7.1839916839916835
60,6.7542,23.6199,7.196883116883116
61,7.0946,23.2402,7.0218408736349485
62,6.8292,22.8469,7.325182101977117
63,5.1594,21.834,7.02288091523661
64,5.4608,21.7715,7.2635914332784175
65,8.7193,24.4647,7.524229074889876
66,10.59,23.9395,6.987878787878788
67,11.2494,24.6459,7.472527472527467
68,6.5195,23.7864,7.462300495321961
69,7.7489,22.7808,7.38580077050083
70,4.2313,20.9812,7.522026431718061
71,59.0566,25.9908,7.925233644859807
72,82.5143,26.0927,8.357182168409464
73,55.9397,27.6121,8.509350935093504
74,25.2038,27.4687,8.708860759493671
75,52.6282,26.8625,8.42070484581498
76,40.7519,26.3554,7.97245179063361
77,35.3687,26.1673,8.13436123348019
78,6.996,23.7096,7.4776041666666675
79,5.8405,23.291,7.454166666666671
80,7.4611,24.1353,7.474232170744395
81,6.4926,23.8639,7.560353798126959
82,7.7244,24.1707,7.480478917230604
83,4.4812,21.8832,7.602310231023106
84,5.5878,22.6133,7.432984004412579
85,8.0327,24.6696,7.6074766355140255
86,10.1002,24.2222,7.437224669603521
87,5.7495,22.586,7.21090308370044
88,6.5201,23.7318,7.308158765159878
89,7.004,23.9727,7.228524229074884
90,22.826,27.3007,8.761276127612756
91,111.7901,27.6885,9.172261970280688
92,28.948,27.0809,8.469680264608607
93,169.0635,28.6172,9.294603524229077
94,112.6482,28.6992,9.075949367088613
95,15.7253,26.8567,8.525619834710737
96,89.3959,28.585,9.405940594059404
97,132.6688,25.0962,8.542663891779393
98,250.0,23.2648,7.975064935064934
99,250.0,24.9565,8.339750260145685
100,250.0,24.6899,8.060842433697355
101,250.0,25.236,8.505465903175436
102,250.0,24.4054,7.913766233766232
103,80.6791,24.0219,7.788351534061366
104,182.6791,26.2206,8.496357960457859
105,216.1128,26.6293,8.46618106139438
106,178.4736,26.459,8.588663546541866
107,250.0,26.3075,8.401456058242331
108,173.9415,26.5696,8.427977119084758
109,250.0,27.2013,8.726704841228521
110,92.7545,25.9255,8.425819885476312
111,4.2321,21.7498,7.737768004398017
112,2.6294,18.3974,7.773501924134145
113,4.0741,22.0952,8.112761276127614
114,4.7102,23.0166,8.045129334067147
115,4.8322,22.6953,8.09631260319207
116,4.2151,21.6312,8.00385038503851
117,250.0,25.2217,8.11620635747786
118,250.0,25.9414,8.517133956386305
119,214.3475,26.9153,8.988033298647236
120,250.0,25.6195,8.312727272727269
121,250.0,25.4588,8.282812500000007
122,250.0,25.9126,8.45989583333333
123,250.0,24.5086,8.233489339573588
124,4.0601,21.6309,7.683920704845818
125,4.0945,22.1547,7.938427707531607
126,4.6622,22.9218,7.963126031920757
127,3.2374,20.2852,7.570407040704071
128,3.3366,21.0941,7.924134139637159
129,3.7206,21.43,7.724972497249716
130,5.9418,24.1731,7.560264171711611
131,23.3462,24.4808,7.341476091476089
132,21.8924,24.7417,7.504166666666675
133,22.042,24.7671,7.648283038501563
134,34.4866,24.6944,7.540906722251178
135,15.0472,25.0964,7.69375000000001
136,19.2978,24.4489,7.417273673257019
137,30.9263,25.081,7.709374999999997
138,3.1844,22.9037,7.618551328817097
139,4.0465,22.3558,7.953051643192482
140,3.318,19.5752,7.964583333333333
141,4.8352,23.6419,8.12649661634565
142,3.1336,19.1014,7.373048907388133
143,3.1844,19.0657,7.136836628511963
144,2.8553,18.066,7.328995314940136
145,3.318,19.5752,7.3893805309734555
146,3.4025,19.5854,7.585200625325695
147,3.1336,19.1014,7.3562499999999975
148,132.4952,27.4332,8.734545454545454
149,250.0,26.7272,8.531217481789803
150,100.0921,27.5853,8.762597402597402
151,130.584,27.9858,9.272869022869024
152,250.0,27.9186,8.925155925155925
153,42.8101,27.364,8.647455867082034
154,233.4423,27.8267,8.990114464099895
