,sample,TT_SAB,TT_UTS,TT_YM
0,1.0,28.96347142857143,28.936042857142862,8.968278440161892
1,2.0,11.6347,26.1365,8.021509879772527
2,3.0,88.41290000000001,27.93642857142857,8.860865613132631
3,4.0,7.15775,25.484800000000003,8.286789997518877
4,5.0,25.83775714285714,27.288142857142862,8.23944628023769
5,6.0,25.722642857142855,26.409585714285715,8.020699183012464
6,7.0,98.96867142857143,25.55675714285714,7.596302687853905
7,8.0,4.87586,21.407819999999997,7.6296216534272885
8,9.0,30.025714285714287,25.444042857142858,7.428420712099602
9,10.0,6.146816666666666,22.4294,7.124089199227588
10,11.0,7.788457142857142,23.195714285714285,7.374050638016485
11,12.0,50.20902857142857,26.649928571428575,8.28973505396932
12,13.0,6.90292,23.8341,7.48936714388706
13,14.0,6.782214285714285,23.382685714285714,7.403940231212634
14,15.0,78.62814285714286,27.832599999999996,8.957904526084269
15,16.0,209.0497,24.52438571428571,8.160843598812914
16,17.0,191.9945,26.473257142857143,8.504737210346576
17,18.0,4.115516666666667,21.597583333333333,7.961553921159584
18,19.0,244.9067857142857,25.653985714285714,8.415756936877944
19,20.0,4.150457142857143,21.955685714285718,7.766464613371534
20,21.0,23.862642857142855,24.758614285714284,7.550747313164647
21,22.0,3.7035400000000003,21.5156,7.807146365815339
22,23.0,3.1787599999999996,19.078739999999996,7.359332619950249
23,24.0,162.77481428571429,27.548685714285714,8.837707945448505
